ID,VAR1,VAR2,VAR3,OUTCOME
29145,71,1,28.3167,1
38916,83,1,16.3833,1
37111,46,2,617.45,0
44275,45,1,24.4833,1
38919,62,1,2,0
37114,29,1,6.63333,1
27831,90,1,0,1
42527,57,5,0,0
44194,79,1,124.817,1
36909,42,1,0,1
41592,76,4,55.1,1
38928,38,2,0,1
38281,22,1,18.6333,0
32101,76,2,0,1
43344,48,1,2176.63,1
31868,59,2,0,1
36910,54,2,3.53333,1
38924,88,1,3.08333,1
42210,66,1,435.05,1
27722,46,1,0,0
26643,81,2,0,1
38943,76,2,186.517,1
43735,68,1,177.25,1
35860,76,1,311.733,1
39217,29,2,36.8,1
26064,68,1,0,0
31269,37,1,0,0
35195,46,1,94.8167,1
44779,72,1,68.7,1
44001,67,2,513.683,1
43855,82,1,94.55,1
39328,60,2,0,1
25239,49,1,75.8833,0
43666,74,2,450.05,0
43717,76,1,0,1
35140,63,2,0,1
44006,55,2,0,1
43916,32,1,0,1
37108,56,1,7.76667,0
25468,79,2,0,1
39329,36,1,0,0
44585,38,1,0,1
32489,43,1,0,1
27422,59,1,13.6833,1
36804,39,1,0,1
39686,79,1,203.733,1
36596,70,3,0,1
35679,38,3,0,0
36006,25,2,24.1833,1
32503,34,2,0,0
37681,74,1,0,1
43920,88,1,0,1
25621,32,1,0,1
36705,19,1,0,1
38925,66,1,0,1
37115,23,1,0,0
43727,26,1,0,0
29778,26,1,0,1
42929,24,1,0,0
26661,37,1,0,1
44273,41,1,0,1
44511,43,1,5.75,1
44484,23,1,0,0
34832,57,1,0,1
43090,37,1,0,1
36793,35,1,0,0
43107,28,1,0,0
35836,38,1,0,0
38933,36,1,98.2667,1
31618,29,1,0,0
40958,18,0,0,1
33068,16,0,0,0
44351,27,0,0,1
43339,35,0,140.833,1
36818,72,0,0,1
38616,73,0,0,1
37123,80,0,27,1
43930,24,0,0,1
38829,34,0,0,1
38218,26,0,4.03333,1
32032,64,0,7.4,1
32494,36,0,0,1
36429,67,0,0,1
37955,24,0,0,0
38905,60,0,0,1
43939,61,0,0,1
36466,54,0,0,1
38332,60,0,0,0
28324,34,0,0,1
29317,51,0,0,1
36725,80,0,10.9667,1
43718,72,0,0,1
43058,90,0,0,1
39231,59,0,0,1
43927,24,0,0,1
39244,61,0,46.9,1
28773,86,0,0,1
28015,40,0,0,0
37112,94,0,0,1
44008,71,0,295.233,1
36706,62,0,0,0
38926,34,0,0,1
36619,94,0,0,1
44687,52,0,0,1
37116,76,0,31.75,1
43724,83,0,0,1
28297,43,0,6.53333,0
39333,75,0,0,1
44605,88,0,239.733,1
31287,20,0,0,1
40670,48,0,0,1
28098,74,0,6.26667,0
33565,37,0,0,1
26150,25,0,0,1
36912,45,0,266.1,0
43667,38,0,0,1
44256,73,0,0,1
39336,58,0,0,0
31732,83,0,3.83333,1
26825,61,0,0,0
43720,74,0,34.0333,0
43732,59,0,0,0
36722,73,0,28.7,1
38899,85,0,0,1
44018,87,0,311.4,1
29525,85,0,0,0
29116,38,0,0,0
36713,59,0,0,0
39243,40,0,0,1
39219,18,0,0,0
38944,29,0,0,0
25901,26,0,0,0
38909,38,0,103.4,1
38918,73,0,0,1
32957,47,0,0,1
36900,77,0,0,1
39472,45,0,0,1
35845,38,0,2.83333,0
25086,82,0,0,0
30006,61,0,0,1
43913,30,0,0,0
40458,40,0,0,1
39233,50,0,0,0
35213,71,0,0,0
36906,44,0,0,1
44003,37,0,0,1
28184,85,0,693.4,1
36702,79,0,290.05,1
41162,20,0,0,0
32161,64,0,0,1
38921,30,0,0,0
44073,27,0,0,1
32625,69,0,0,0
39237,77,0,2035.95,0
32144,28,0,0,0
39241,75,0,0,1
44004,46,0,0,0
36807,26,0,0,0
36707,23,0,0,1
30643,54,0,0,0
37117,94,0,0,1
44486,75,0,0,1
31553,77,0,0,1
36813,21,0,0,1
36712,91,0,0,1
36915,78,0,379.683,1
29046,85,0,0,1
35695,62,0,0,0
44340,81,0,0,1
27864,20,0,0,1
44272,22,0,0,0
26663,59,0,477.467,0
40792,86,0,775.317,1
35208,87,0,0,1
27546,25,0,0,1
41299,26,0,0,0
38938,45,0,0,0
38421,24,0,0,1
44011,21,0,0,0
42523,22,0,0,0
28198,26,0,139.583,1
35724,26,0,0,1
26382,25,0,0,1
29767,76,0,0,0
38900,40,0,0,0
37610,29,0,0,1
38545,86,0,0,1
32644,79,0,0,1
33651,19,0,0,1
43657,19,0,0,1
38633,61,0,0,0
36692,21,0,8.28333,1
36815,36,0,0,0
38910,62,0,0,1
27188,66,0,0,1
35858,52,0,0,0
36698,20,0,0,0
35739,84,0,3,0
28214,28,0,0,1
27127,26,0,1.41667,1
31759,61,0,17.6,1
39242,67,0,26.8167,1
43032,25,0,0,1
27341,28,0,0,1
43918,63,0,0,1
43817,34,0,0,0
36908,85,0,0,1
41444,59,0,14.0833,0
43924,62,0,0,1
36835,91,0,3.13333,1
29163,88,0,1009.08,1
32694,69,0,0,1
32225,81,0,126.65,1
30544,67,0,0,1
38325,88,0,16.65,1
36309,83,0,0,0
35063,85,0,1192.75,1
31982,97,0,193.65,1
27770,82,0,0,0
32159,75,0,0,0
36633,79,0,0,1
29194,59,0,4.93333,1
38214,75,0,0,1
39330,68,0,123.167,0
43341,24,0,0,1
36708,82,0,43.9,1
26163,78,0,283.9,0
43733,39,0,0,0
26436,69,0,0,0
38945,16,0,0,0
35377,30,0,0,1
35678,66,0,89.5,1
30975,78,0,0,1
29766,23,0,0,0
35607,88,0,4.05,1
43738,53,0,0,0
37948,24,0,0,1
38901,48,0,0,1
30987,51,0,0,1
25984,52,0,0,0
43747,29,0,0,1
44021,25,0,0,0
40426,24,0,22.3833,1
30645,81,0,0,1
26019,76,0,0,1
26144,77,0,6.46667,1
38911,59,0,0,1
37102,16,0,0,0
39226,76,0,0,1
29567,83,0,0,1
37516,40,0,0,0
36831,61,0,0,1
43941,35,0,0,0
36901,38,0,0,0
36333,65,0,259.3,1
36699,56,0,0,0
43999,97,0,0,1
36703,26,0,0,0
36907,31,0,0,1
43722,63,0,0,1
38279,70,0,544.6,1
34956,32,0,38.8,1
36809,93,0,0,1
36182,59,0,0,1
26714,72,0,0,1
34127,54,0,0,1
34290,58,0,0,1
37564,67,0,0,1
37675,68,0,9.93333,0
30025,47,0,2.66667,1
31637,67,0,0,1
43707,72,0,3.71667,0
30314,64,0,0,1
25737,55,0,0,1
40371,58,0,26.1,1
44632,65,0,0,1
37707,40,0,0,1
44432,61,0,0,0
40378,81,0,3.46667,0
37711,64,0,0,1
40269,32,0,0,0
32301,27,0,0,1
37646,49,0,0,0
42893,64,0,0,1
37574,44,0,0,0
28102,19,0,0,1
37617,22,0,0,1
31887,28,0,0,1
27635,44,0,0,1
44441,29,0,0,1
37622,76,0,0,1
37552,20,0,0,1
43288,24,0,0,1
29189,59,0,186.517,0
37626,71,0,0,1
37556,56,0,143.9,1
44412,53,0,0,1
33067,66,0,0,1
40360,77,0,451.3,1
42258,43,0,56.9333,1
27174,37,0,9.1,1
31220,74,0,0,1
37629,29,0,83.1,1
43194,55,0,121.4,0
32632,79,0,0,1
44627,77,0,0,1
32168,86,0,0,0
44709,84,0,712.683,1
41439,64,0,10.0833,0
33108,75,0,0,1
40548,90,0,0,1
32923,74,0,0,1
43729,67,0,0,1
36920,42,0,9.16667,1
31772,46,0,0,0
43730,25,0,167.6,0
30018,30,0,0,0
35220,40,0,0,0
44782,85,0,0,1
43940,36,0,0,0
37083,22,0,0,0
27871,60,0,0,1
35174,34,0,0,1
26447,18,0,0,0
40332,33,0,0,0
44714,22,0,195.717,1
41185,48,0,0,0
40432,27,0,0,0
34795,24,0,0,1
26056,33,0,0,1
37107,63,0,0,1
39319,48,0,0,1
43486,65,0,0,1
32219,24,0,0,1
37118,26,0,0,1
42978,30,0,2.91667,0
40343,35,0,0,1
31049,61,0,313.717,1
27550,53,0,0,1
25257,22,0,0,0
39215,24,0,71.3333,1
26641,32,0,0,0
28101,55,0,0,1
40348,27,0,0,0
26616,43,0,0,0
40444,29,0,0,1
25353,87,0,0,1
25696,31,0,0,1
29102,33,0,0,1
40984,89,0,0,1
30277,80,0,575.033,1
37649,56,0,0,1
44413,22,0,0,0
37884,80,0,598.4,0
29461,62,0,0,1
28634,84,0,10.2167,1
32908,73,0,0,0
28381,70,0,0,0
30473,28,0,0,1
37630,76,0,0,1
37843,24,0,0,0
39994,71,0,0,1
44417,18,0,0,1
35702,55,0,0,1
40291,48,0,0,0
38368,84,0,4.36667,1
28359,85,0,0,0
43550,37,0,0,1
29950,30,0,0,1
42604,55,0,0,1
35669,50,0,6.2,1
39879,47,0,4.6,1
38297,32,0,0,0
32375,72,0,0,1
42818,25,0,0,0
31649,32,0,0,1
31863,21,0,0,1
43996,49,0,0,0
44847,24,0,0,0
28727,31,0,0,0
37936,30,0,0,1
44628,29,0,0,1
40297,30,0,0,0
31542,24,0,0,1
44633,34,0,0,1
31213,76,0,0,1
37900,59,0,0,1
34279,89,0,17.25,1
30116,74,0,0,1
44433,39,0,0,1
30883,38,0,0,0
44329,80,0,0,1
40270,26,0,0,0
